method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,latency_source,per_window_latency_med_s,per_window_source,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,gpu_name,hw_id,ate_rmse_m,rpe_per_m,metric_capable,scale_estimate,metric_scale_error_pct,extent_error_pct,masked_accuracy_m,masked_completeness_m,masked_chamfer_m,masked_fscore,full360_accuracy_m,full360_completeness_m,full360_chamfer_m,full360_fscore,point_count,map_size_mb,sor_outlier_pct,acc_p95_m,noise_frac,precision_tight,source
laser,replica,apartment_0,loop_2.0hz_s0,synthetic_fov,89.0,5.792,6.175,archive_unspecified,,unavailable,4.224,8.455,12.8,140.9,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,1.64,0.643,False,,,,0.322,0.48100000000000004,0.8029999999999999,0.187,0.508,0.925,1.433,0.122,379968.0,5.7,0.036000000000000004,0.812,0.727,0.035,archive:bigrun_2026-07
laser,replica,apartment_0,stopgo_2.0hz_s1,synthetic_fov,99.0,6.038,6.843,archive_unspecified,,unavailable,4.386,8.518,10.8,145.9,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.325,0.46399999999999997,False,,,,0.094,0.057999999999999996,0.151,0.626,0.14800000000000002,0.764,0.912,0.328,683836.0,10.3,0.037000000000000005,0.377,0.231,0.113,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_2.0hz_s1,synthetic_fov,79.0,5.31,5.757,archive_unspecified,,unavailable,4.106,8.485,11.9,131.5,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.384,0.379,False,,,,0.115,0.083,0.198,0.489,0.16,0.767,0.927,0.284,696143.0,10.4,0.038,0.364,0.358,0.083,archive:bigrun_2026-07
laser,replica,apartment_0,stopgo_2.0hz_s0,synthetic_fov,90.0,5.827,6.375,archive_unspecified,,unavailable,4.319,8.485,12.0,143.0,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.321,0.187,False,,,,0.105,0.073,0.17800000000000002,0.59,0.122,0.6990000000000001,0.821,0.328,346365.0,5.2,0.036000000000000004,0.42100000000000004,0.287,0.11699999999999999,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_0.5hz_s0,synthetic_fov,18.0,1.866,2.138,archive_unspecified,,unavailable,2.557,8.363,6.1,80.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.473,0.294,False,,,,0.07400000000000001,0.04,0.114,0.691,0.077,0.752,0.8290000000000001,0.35,124669.0,1.9,0.039,0.26,0.179,0.128,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_0.5hz_s1,synthetic_fov,20.0,2.181,2.249,archive_unspecified,,unavailable,2.762,8.328,7.6,90.2,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.053,0.043,False,,,,0.064,0.061,0.125,0.688,0.094,0.7929999999999999,0.888,0.322,175767.0,2.6,0.04,0.22399999999999998,0.133,0.165,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_2.0hz,synthetic_fov,70.0,5.091,5.176,archive_unspecified,,unavailable,65.885,70.356,12.4,150.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.226,0.09300000000000001,False,,,,0.096,0.062,0.158,0.641,0.11,0.7090000000000001,0.8190000000000001,0.357,319033.0,4.8,0.035,0.39899999999999997,0.243,0.125,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_0.5hz,synthetic_fov,18.0,1.923,2.17,archive_unspecified,,unavailable,64.498,70.231,7.7,116.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.473,0.294,False,,,,0.07400000000000001,0.04,0.114,0.694,0.077,0.752,0.828,0.351,124669.0,1.9,0.039,0.261,0.179,0.129,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_5.0hz,synthetic_fov,173.0,7.106,11.83,archive_unspecified,,unavailable,66.882,70.491,18.3,168.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.213,0.107,False,,,,0.11900000000000001,0.064,0.183,0.483,0.122,0.715,0.8370000000000001,0.297,642544.0,9.6,0.035,0.40299999999999997,0.361,0.061,archive:bigrun_2026-07
laser,replica,apartment_0,synthetic_5.0hz_s1,synthetic_fov,196.0,7.83,12.366,archive_unspecified,,unavailable,5.126,8.623,19.1,172.0,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.473,0.38,False,,,,0.205,0.138,0.34299999999999997,0.313,0.436,0.6559999999999999,1.091,0.183,1241884.0,18.6,0.035,0.639,0.5720000000000001,0.046,archive:bigrun_2026-07
