method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,per_window_latency_med_s,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,tsdf_block_count,gpu_name,gpu_total_gb,hw_id
panovggt,replica,apartment_0,synthetic_0.5hz,pano,18,1.341,1.584,1.5836,66.042,75.569,14.7,148.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_5.0hz,pano,173,2.469,0.0,,95.222,101.683,83.2,504.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_5.0hz_s1,pano,196,1.999,74.285,74.2855,39.603,48.115,74.9,473.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_2.0hz_s0,pano,70,2.764,11.054,11.0543,14.095,23.339,44.5,298.3,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_5.0hz_s0,pano,173,2.077,58.138,58.138,35.037,43.585,69.4,441.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,loop_2.0hz_s1,pano,90,2.786,17.427,17.4272,18.46,27.271,53.6,355.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,office_4,synthetic_2.0hz,synthetic_fov,50,3.175,14.26,,2.608,9.017,1.7,104.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,office_4,synthetic_0.5hz,synthetic_fov,13,0.925,12.787,,2.145,8.309,4.2,105.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,office_4,synthetic_5.0hz,synthetic_fov,125,7.937,14.159,,2.722,9.017,3.4,104.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,loop_2.0hz_s0,synthetic_fov,106,6.04,15.597,,3.247,9.02,4.4,107.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,stopgo_2.0hz_s1,synthetic_fov,77,5.101,13.627,,2.447,9.017,3.6,94.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,synthetic_2.0hz_s1,synthetic_fov,57,3.766,13.65,,2.461,9.017,3.7,91.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,stopgo_2.0hz_s0,synthetic_fov,100,6.41,13.9,,2.811,9.02,2.3,99.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,synthetic_0.5hz_s0,synthetic_fov,20,1.431,12.626,,2.184,8.6,0.5,85.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,synthetic_0.5hz_s1,synthetic_fov,15,1.084,12.526,,2.096,8.309,1.4,86.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,synthetic_5.0hz_s1,synthetic_fov,141,8.885,14.216,,2.808,9.017,4.3,100.3,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,synthetic_2.0hz_s0,synthetic_fov,80,4.953,14.478,,2.799,9.02,2.0,99.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
vggtslam,replica,frl_apartment_0,synthetic_5.0hz_s0,synthetic_fov,198,11.343,15.57,,3.24,9.02,3.9,105.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
